Локация,Размещение,Площадь,Торг площадь,Тип ТО,Кол-во стеллажей,Режим работы,Дата открытия,ТО,Статус,Трафик,Конверсия,Количество чеков,Средний чек,Оборачиваемость проды,Оборачиваемость непроды,Оборачиваемость,ПРОМО шт,РЕГ шт,"Доля ПРОМО, %","Доля РЕГ, %",Доля РЕГУЛЯР/ПРОМО,Проды,Скоропорт,Непроды,Прочее/ТМЦ,Выручка б/НДС,"Доля ТО в выручке, %",Проды.1,Скоропорт.1,Непроды.1,Прочее/ТМЦ.1,Себестоимость б/ндс,Проды.2,% списаний,Скоропорт.2,% списаний.1,Непроды.2,% списаний.2,% списаний total,% маржи проды,% маржи непроды,% маржи,Проды маржа,Непроды маржа,Марж прибыль,ФОТ,"Доля ФОТ в выручке, %",Расходы на реализацию без логистики и аренды,Логистика,Аренда,Расходы на реализацию total,Прочие доходы и расходы,Операционные расходы total,Рентабельность 1,Месяц,Проды скоропорт маржа,Операционные расходы,% маржи прочее,Прочее маржа,Unnamed: 27
Жилой дом,1.0,204.0,149.8,тип 4,56,9:00-21:00,31.09.2024,ФМ_01 ВЛАДИМИР Верхняя Дуброва 26Ж,,-,-,4027,268.85,75.65254609090013,210.3029010456516,142.97772356827585,915.0,12120.0,0.07019562715765247,0.9298043728423475,93% / 7%,234268.5100000006,205337.72000000003,447906.3799999999,31871.39000000001,919384.0000000006,0.2022142355862268,180294.7300000001,165077.03999999998,263279.9999999998,28023.610000000008,636675.3799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2143610658111019,0.4121985938222182,0.31327982981666,94234.46000000054,184626.3800000001,278860.84000000067,655516.06,0.7143358917083296,177113.24999999997,0.0,214025.83,391139.07999999996,0.0,1046655.14,-767794.2999999993,Январь 25,,,,,
Жилой дом,2.0,222.0,165.4,тип 2,75,10:00-21:00,2024-08-04 00:00:00,"ФМ_03 КОВРОВ Ватутина,59",,-,-,2501,265.08,188.0451197870452,257.4794086546283,222.76226422083676,538.0,7407.0,0.06771554436752675,0.9322844556324733,93% / 7%,144529.5700000005,37577.85,355741.3600000003,12524.610000000002,550373.3900000007,0.12105206784743955,111987.32999999958,32419.79,197302.4199999998,10430.349999999999,352139.8899999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2070223168281709,0.4453767759812928,0.32619954640473187,37700.30000000089,158438.9400000006,196139.2400000015,667216.35,1.2095920364674362,159489.8,0.0,86491.55,245981.34999999998,0.0,913197.7,-717058.4599999984,Январь 25,,,,,
,,,,-,-,,,"ФМ_04 ИВАНОВО Куконковых,141",закрыт,-,-,1823,204.17,228.2233893557423,348.7735578583765,288.4984736070594,539.0,4463.0,0.10775689724110356,0.8922431027588964,89% / 11%,112753.18000000042,24189.98,164372.44,7434.57,308750.17000000045,0.0679081641769572,89165.25,19290.39,95832.17999999992,6822.200000000001,211110.01999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2080244095433486,0.4169814599089731,0.31250293472616086,28487.5200000004,68540.26000000008,97027.78000000048,371513.41,1.2051045738376926,80679.65,0.0,147409.25,228088.9,0.0,599602.3099999999,-502574.52999999945,Январь 25,,,,,
Ком.зданиие/ТЦ,2.0,181.2,146.8,-,-,9:00-21:00,2024-12-28 00:00:00,"ФМ_05 ОРЕХОВО-ЗУЕВО Пролетарская, зд. 18А",закрыт,-,-,1392,296.79,140.3004814967671,251.5631681439699,195.9318248203685,629.0,4669.0,0.11872404681011703,0.8812759531898829,88% / 12%,64825.37000000026,65626.22000000004,211443.6400000003,6253.19,348148.4200000006,0.0765736260592448,52400.08000000001,51590.50999999999,128342.3799999999,4136.58,236469.5499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028415291833566,0.3930184894660358,0.2979300093246962,26461.00000000033,83101.26000000039,109562.26000000072,486574.47,1.396527269228335,110200.87,0.0,260579.53000000003,370780.4,0.0,857354.87,-747792.6099999993,Январь 25,,,,,
Ком.зданиие,1.0,241.0,186.5,тип 2,76,9:00-21:00,2024-10-30 00:00:00,"ФМ_06 АЛЕКСАНДРОВ Институская,2",закрыт,-,-,1530,310.16,339.1191195969239,438.4820107677903,388.8005651823571,496.0,5459.0,0.08329135180520571,0.9167086481947943,92% / 8%,92768.77000000028,54944.98000000001,239823.9100000002,11270.489999999998,398808.1500000005,0.08771599810069278,70394.76999999999,43992.659999999996,142175.08,10844.57,267407.07999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2256142031462897,0.4071688681916667,0.3163915356689782,33326.32000000033,97648.83000000022,130975.15000000055,549340.84,1.3753076499474604,124220.22999999998,0.0,289176.59,413396.82,0.0,962737.6599999999,-831762.5099999993,Январь 25,,,,,
Жилой дом,1.0,168.0,128.0,тип 3,65,9:00-21:00,2024-11-20 00:00:00,ФМ_07 ЯРОСЛАВЛЬ Угличская 8/46,закрыт,-,-,1615,317.69,182.1245738480149,367.8447474747475,274.9846606613812,384.0,6020.0,0.059962523422860715,0.9400374765771393,94% / 6%,128674.42000000057,72457.83000000005,204981.6200000004,23783.31,429897.18000000104,0.09455388568255996,121617.51999999999,68082.69,119877.6200000001,26172.54,335750.37000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05683842347510449,0.4151786877281978,0.23600855560165115,11432.04000000062,85104.00000000026,96536.04000000088,492220.79000000004,1.1365395278540404,75701.95000000001,0.0,228770.31,304472.26,0.0,796693.05,-700157.0099999992,Январь 25,,,,,
Ком.зданиие/ТЦ,2.0,320.0,261.6,тип 1,105,9:00-21:00,2024-12-28 00:00:00,ФМ_09 ВЛАДИМИР мкр.Юрьевец Славная 1,,-,-,3926,290.22,84.15381930349605,153.597273082369,118.87554619293252,393.0,12833.515000000001,0.029713042324452054,0.970286957675548,97% / 3%,212164.250000001,111214.8000000001,609522.9999999979,22100.1,955002.149999999,0.2100482820513004,160108.33000000013,85424.23,364013.9299999998,12717.66,622264.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2407283032095022,0.4027888529226936,0.3217585780660979,77846.49000000104,245509.0699999981,323355.5599999991,338037.68999999994,0.35440717252719645,113464.68,0.0,243847.15999999997,357311.83999999997,0.0,695349.5299999999,-371993.9700000008,Январь 25,,,,,
Жилой дом,1.0,228.0,187.5,тип 2,76,9:00-21:00,2025-01-29 00:00:00,ФМ_10 РЯЗАНЬ Славянский 3,закрыт,-,-,453,286.03,230.5163924050633,999.7240904621436,615.1202414336035,79.0,1510.0,0.04971680302076778,0.9502831969792322,95% / 5%,22303.87000000003,26728.29,58718.32999999999,1503.81,109254.30000000002,0.02402997524321534,15365.619999999995,18999.47,35962.35999999999,872.8799999999999,71200.32999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2991316311579997,0.3875445708350356,0.3433381009965176,14667.07000000004,22755.96999999999,37423.04000000003,115619.21,1.058257752784101,28438.77000000002,0.0,282918.92,311357.69,0.0,426976.9,-389553.86,Январь 25,,,,,
Ком.здание,2.0,200.0,164.0,тип 1,86,10:00-20:00,2024-12-28 00:00:00,ФМ_11 РЯЗАНЬ Татарская 95,перенос,-,-,2102,300.93,142.8745571658615,206.0405783654218,174.45756776564164,941.0,6864.0,0.12056374119154388,0.8794362588084561,88% / 12%,104612.1700000006,44582.44000000001,368978.1399999997,8793.45,526966.2000000003,0.11590376525236322,83128.2899999999,36368.0,231392.6100000002,6043.49,356932.3900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1990575933004587,0.3728826049152927,0.2859700991078757,29698.32000000066,137585.5299999994,167283.85000000003,357309.32,0.6777603769653069,69109.63,0.0,178318.38,247428.01,0.0,604737.3300000001,-437453.48000000004,Январь 25,,,,,
Жилой дом,1.0,204.0,149.8,тип 4,56,9:00-21:00,31.09.2024,"ФМ_01 г. Владимир, ул.Верхняя Дуброва, д.26ж",,-,-,4329,283.51,56.75702490141785,188.9995063438027,122.87826562261027,573.0,13408.716999999999,0.040982091112271836,0.9590179088877282,96% / 4%,268496.71000000066,217850.32000000012,527385.0499999996,26198.230000000003,1039930.3100000003,0.15150384339253434,200338.99999999985,165079.22000000006,307393.7799999998,22515.2,695327.1999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2486471645565528,0.4171359616659592,0.332891563111256,68157.7100000008,219991.2699999998,340920.08000000066,512385.13,0.49293691999283284,250558.95,0.0,207259.97999999998,457818.93,101509.04000000001,1071713.1,-730793.0199999994,Февраль 25,52771.100000000064,,,,
